fleet,truck_number,platform_id,vehicle_year,vehicle_make,vehicle_model,date_of_service,dpf_failure
Conway,532 7670,10318391,2017,Freightliner,Cascadia,10/28/2020,Yes
Conway,432 1677,303959,2012,Freightliner,Cascadia,12/1/2020,Yes
Conway,432 3482,309265,2013,Freightliner,Cascadia,12/11/2020,Yes
Conway,532 6459,10316097,2016,Freightliner,Cascadia,12/17/2020,Yes
Conway,532 0238,300547,2011,Freightliner,Cascadia,1/1/2020,No
Conway,432 1801,300558,2011,Freightliner,Cascadia,1/1/2020,No
Conway,432 1901,301563,2012,Freightliner,Cascadia,1/1/2020,No
Conway,432 5852,312922,2015,Freightliner,Cascadia,1/1/2020,No
Conway,432 5876,312925,2015,Freightliner,Cascadia,1/1/2020,No
Conway,532 6452,10316090,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 6453,10316091,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 6454,10316092,2016,Freightliner,Cascadia,1/1/2020,No
Conway,532 7824,10318585,2017,Freightliner,Cascadia,1/1/2020,No
Conway,532 7826,10318587,2017,Freightliner,Cascadia,1/1/2020,No
Conway,532 7827,10318588,2017,Freightliner,Cascadia,1/1/2020,No
Conway,532 8429,10320987,2019,Freightliner,Cascadia,1/1/2020,No
Conway,532 8456,10321025,2019,Freightliner,Cascadia,1/1/2020,No
Conway,532 8487,10321057,2019,Freightliner,Cascadia,1/1/2020,No
Conway,632 0402,10325986,2020,Freightliner,Cascadia,1/1/2020,No
